signal_event_time,timestamp,open,high,low,close,volume,close_time,quote_av,trades,taker_base_vol,taker_quote_vol,ignore
20230505_160000,2023-05-05 11:36,29070.9,29078.2,29069.5,29078.2,117.433,1.68E+12,3414103.471,1633,76.608,2227250.868,0
20230505_160000,2023-05-05 11:37,29078.1,29083.1,29078.1,29080.1,121.591,1.68E+12,3535909.575,1683,87.791,2552980.064,0
20230505_160000,2023-05-05 11:38,29080.1,29096.7,29080,29096.7,84.148,1.68E+12,2447535.35,1508,70.224,2042578.64,0
20230505_160000,2023-05-05 11:39,29096.7,29099,29094.5,29099,83.375,1.68E+12,2425894.253,1438,43.037,1252208.839,0
20230505_160000,2023-05-05 11:40,29099,29103,29090,29092.4,213.268,1.68E+12,6205123.86,2651,83.507,2429769.314,0
20230505_160000,2023-05-05 11:41,29092.4,29092.4,29080,29085.5,92.022,1.68E+12,2676246.246,1411,30.952,900104.4306,0
20230505_160000,2023-05-05 11:42,29085.5,29094.9,29085.4,29094.9,41.845,1.68E+12,1217187.356,1076,22.282,648143.8217,0
20230505_160000,2023-05-05 11:43,29094.9,29094.9,29094.8,29094.9,24.826,1.68E+12,722309.078,671,15.732,457720.9668,0
20230505_160000,2023-05-05 11:44,29094.9,29094.9,29079.8,29082.8,137.91,1.68E+12,4011382.946,1471,28.261,821935.8615,0
20230505_160000,2023-05-05 11:45,29082.9,29111,29082.8,29105.2,341.965,1.68E+12,9951541.367,2855,254.397,7402629.223,0
20230505_160000,2023-05-05 11:46,29105.1,29108.7,29095.4,29104.9,125.111,1.68E+12,3640926.532,2105,39.874,1160417.005,0
20230505_160000,2023-05-05 11:47,29104.9,29117.3,29101.8,29114.9,180.294,1.68E+12,5248443.029,2568,122.386,3562739.723,0
20230505_160000,2023-05-05 11:48,29114.8,29114.9,29109.4,29109.4,94.854,1.68E+12,2761563.194,1600,27.109,789247.9385,0
20230505_160000,2023-05-05 11:49,29109.4,29109.5,29093.8,29096.5,99.508,1.68E+12,2895817.197,1661,31.003,902205.3209,0
20230505_160000,2023-05-05 11:50,29096.4,29110,29096.4,29110,85.677,1.68E+12,2493629.378,1396,47.507,1382654.382,0
