et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2023-10-13 08:00:00,2023-10-13 12:00:00,2023-10-13 08:00:00,2023-10-13 13:01:00,-1,26821.48948,26955.596927399998,-0.005599999999999922,-0.0026400666544936073,-0.0,fibstop,26955.596927399998,2023,False,,0.00030060758125096505,0.0
2023-10-13 16:00:00,2023-10-14 04:00:00,2023-10-13 16:00:00,2023-10-14 04:05:00,1,26760.000620000003,26909.42364470104,0.004982769926721595,-0.0031764057560026513,1.0499999999989684e-06,fibstop,26909.42364470104,2023,False,,0.000385977918378815,0.0
2023-10-16 00:00:00,2023-10-16 04:00:00,2023-10-16 00:00:00,2023-10-16 05:16:00,-1,27241.4802,27377.687600999998,-0.005599999999999853,-0.0012231273688276853,-0.0,fibstop,27377.687600999998,2023,False,,0.0003735177127686599,0.0
2023-10-16 08:00:00,2023-10-16 12:00:00,2023-10-16 08:00:00,2023-10-16 13:06:00,-1,27778.027699999995,27933.60322910001,-0.006200668657264434,-0.0040381664678088595,-0.0,fibstop,27933.60322910001,2023,False,,0.00041099095882504526,0.0
2023-10-16 16:00:00,2023-10-17 04:00:00,2023-10-16 16:00:00,2023-10-17 07:50:00,-1,28573.938860000006,28383.450800888546,0.006068536349865139,-0.007837951256818632,-2.039999999998293e-06,fibstop,28383.450800888546,2023,False,,0.0007996792039284364,0.0
2023-10-18 16:00:00,2023-10-19 00:00:00,2023-10-18 16:00:00,2023-10-19 01:44:00,1,28204.682039999996,28268.67112082705,0.0016790196630213489,-0.0012509284788233903,-1.0280000000001399e-05,fibstop,28268.67112082705,2023,False,,0.0003896427036964374,0.0
2023-10-19 04:00:00,2023-10-19 20:00:00,2023-10-19 04:00:00,2023-10-19 20:25:00,1,28301.961066666667,28669.854890366376,0.012515180990370847,-0.0030867495881605127,-0.00011629999999999974,fibstop,28669.854890366376,2023,False,,0.00027265809092403897,0.0
2023-10-20 12:00:00,2023-10-21 08:00:00,2023-10-20 12:00:00,2023-10-21 09:44:00,-1,29602.409799999998,29721.772,-0.0045774184883879045,-0.010052904544278094,-5.475999999999745e-05,fibstop,29721.772,2023,False,,0.0007272924133459329,0.0
2023-10-21 20:00:00,2023-10-22 04:00:00,2023-10-21 20:00:00,2023-10-22 05:55:00,-1,29962.97884,30190.173533572644,-0.008156843567354128,-0.006078206074653383,-2.5669999999998472e-05,fibstop,30190.173533572644,2023,False,,0.0005553639108808225,0.0
2023-10-22 08:00:00,2023-10-23 12:00:00,2023-10-22 08:00:00,2023-10-23 13:31:00,1,29873.3208,30527.89334216728,0.021102059577977672,-0.005868808532327659,0.00020954999999999932,fibstop,30527.89334216728,2023,False,,0.0010285142434553404,0.0
2023-10-24 00:00:00,2023-10-24 12:00:00,2023-10-24 00:00:00,2023-10-24 12:04:00,-1,34258.533820000004,34656.05777359566,-0.01210364759578777,-0.03040019708584235,-9.99999999999994e-05,fibstop,34656.05777359566,2023,False,,0.0025283999634248405,0.0
2023-10-25 20:00:00,2023-10-26 08:00:00,2023-10-25 20:00:00,2023-10-26 08:02:00,-1,34650.80238,34709.36955268633,-0.0020902111542482936,-0.0056621378589848115,-0.0001999999999999988,fibstop,34709.36955268633,2023,False,,0.0006471188992170953,0.0
